Tue May  7 15:15:46 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:47 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:50 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:50 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:51 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:52 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:52 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:53 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:56 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:56 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:57 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:58 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:58 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:59 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:02 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:02 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:03 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:04 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:04 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:05 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:08 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:08 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:09 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:10 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:10 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:11 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:14 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:14 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:15 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:16 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:16 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:17 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:20 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:20 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:21 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:22 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:22 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:23 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:26 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:26 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:27 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:28 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:28 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:29 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:32 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
